ID,Link,Name,New,In Analysis,Ready,In Progress,Waiting,Accepted,Done,Type,
BKG-248,https://its.it.lan.com/browse/BKG-248,,2016-06-10,,2016-06-10,2016-06-13,,2016-06-13,2016-06-15,Task,
BKG-249,https://its.it.lan.com/browse/BKG-249,,2016-06-10,,2016-08-11,2016-08-11,2016-08-23,2016-08-29,2016-08-31,Story,
BKG-250,https://its.it.lan.com/browse/BKG-250,,2016-06-10,,2016-08-23,2016-08-29,2016-09-06,2016-09-09,2016-09-09,Story,
BKG-251,https://its.it.lan.com/browse/BKG-251,,2016-06-13,,2016-06-14,2016-06-15,,2016-06-21,2016-06-21,Story,
BKG-259,https://its.it.lan.com/browse/BKG-259,,2016-06-14,,2016-06-16,2016-06-20,,2016-06-21,2016-06-29,Story,
BKG-260,https://its.it.lan.com/browse/BKG-260,,2016-06-14,,2016-08-08,2016-08-08,,2016-08-10,2016-08-22,Story,
BKG-261,https://its.it.lan.com/browse/BKG-261,,2016-06-14,,2016-08-08,2016-08-09,,2016-08-10,2016-08-22,Story,
BKG-263,https://its.it.lan.com/browse/BKG-263,,2016-06-15,,2016-07-11,2016-07-11,,,2016-07-28,Spike,
BKG-264,https://its.it.lan.com/browse/BKG-264,,2016-06-15,,2016-06-20,2016-06-23,,2016-07-07,2016-07-12,Story,
BKG-265,https://its.it.lan.com/browse/BKG-265,,2016-06-16,,2016-06-17,2016-06-22,,2016-06-28,2016-06-29,Story,
BKG-266,https://its.it.lan.com/browse/BKG-266,,2016-06-16,,2016-06-16,2016-06-20,,2016-06-23,2016-06-29,Story,
BKG-267,https://its.it.lan.com/browse/BKG-267,,2016-06-16,,2016-06-17,2016-06-21,,2016-06-23,2016-06-29,Story,
BKG-268,https://its.it.lan.com/browse/BKG-268,,2016-06-16,,2016-06-17,2016-06-22,,2016-06-28,2016-06-29,Story,
BKG-269,https://its.it.lan.com/browse/BKG-269,,2016-06-16,,2016-06-17,2016-06-22,,2016-06-23,2016-06-29,Story,
BKG-270,https://its.it.lan.com/browse/BKG-270,,2016-06-17,,2016-06-17,2016-06-20,,2016-06-21,2016-06-29,Task,
BKG-271,https://its.it.lan.com/browse/BKG-271,,2016-06-20,,2016-06-30,2016-06-30,,2016-07-08,2016-08-01,Story,
BKG-272,https://its.it.lan.com/browse/BKG-272,,2016-06-20,,2016-07-06,2016-07-07,,2016-07-08,2016-08-01,Story,
BKG-274,https://its.it.lan.com/browse/BKG-274,,2016-06-21,,2016-07-06,2016-07-06,,2016-07-13,2016-07-19,Bug,
BKG-276,https://its.it.lan.com/browse/BKG-276,,2016-06-21,,2016-06-29,2016-06-29,,2016-06-30,2016-08-01,Task,
BKG-277,https://its.it.lan.com/browse/BKG-277,,2016-07-07,,2016-07-07,2016-07-07,,2016-07-07,2016-07-12,Story,
BKG-280,https://its.it.lan.com/browse/BKG-280,,2016-07-08,,2016-07-08,2016-07-11,,2016-07-18,2016-07-21,Story,
BKG-287,https://its.it.lan.com/browse/BKG-287,,2016-07-18,,2016-07-18,2016-07-18,,2016-07-27,2016-07-28,Task,
BKG-288,https://its.it.lan.com/browse/BKG-288,,2016-07-19,,2016-07-22,2016-07-22,,2016-07-27,2016-07-27,Story,
BKG-289,https://its.it.lan.com/browse/BKG-289,,2016-07-22,,2016-08-10,2016-08-10,,2016-08-10,2016-08-12,Story,
BKG-294,https://its.it.lan.com/browse/BKG-294,,2016-07-28,,2016-07-28,2016-07-29,,,2016-08-03,Spike,
BKG-296,https://its.it.lan.com/browse/BKG-296,,2016-07-29,,2016-10-13,2016-10-17,2016-12-26,2016-12-26,2016-12-27,Task,
BKG-298,https://its.it.lan.com/browse/BKG-298,,2016-07-29,,2016-08-30,2016-08-30,2016-09-20,2016-09-22,2016-09-27,Task,
BKG-301,https://its.it.lan.com/browse/BKG-301,,2016-07-30,,2017-05-17,2017-05-22,2017-05-23,2017-05-31,2017-06-01,Story,
BKG-302,https://its.it.lan.com/browse/BKG-302,,2016-07-30,,2016-09-29,2016-09-30,2016-10-05,2016-10-06,2016-10-11,Story,
BKG-304,https://its.it.lan.com/browse/BKG-304,,2016-07-30,,2016-09-05,2016-09-13,2016-09-20,2016-09-22,2016-09-22,Task,
BKG-309,https://its.it.lan.com/browse/BKG-309,,2016-07-30,,2016-10-06,2016-10-10,2016-10-21,2016-10-24,2016-10-24,Task,
BKG-311,https://its.it.lan.com/browse/BKG-311,,2016-07-30,,,,,,,Task,
BKG-314,https://its.it.lan.com/browse/BKG-314,,2016-08-01,,2016-08-24,2016-08-24,2016-08-26,2016-08-30,2016-08-30,Bug,
BKG-315,https://its.it.lan.com/browse/BKG-315,,2016-08-01,,2016-08-01,2016-08-03,,2016-08-04,2016-08-22,Bug,
BKG-316,https://its.it.lan.com/browse/BKG-316,,2016-08-02,,2016-08-02,2016-08-02,,2016-08-09,2016-08-12,Task,
BKG-317,https://its.it.lan.com/browse/BKG-317,,2016-08-03,,2016-08-05,2016-08-08,,2016-08-18,2016-08-18,Story,
BKG-318,https://its.it.lan.com/browse/BKG-318,,2016-08-03,,2016-08-03,2016-08-05,,,2016-08-11,Bug,
BKG-324,https://its.it.lan.com/browse/BKG-324,,2016-08-05,,2016-08-05,2016-08-16,,2016-08-18,2016-08-18,Story,
BKG-334,https://its.it.lan.com/browse/BKG-334,,2016-08-05,,2016-08-16,2016-08-17,2016-08-19,2016-08-19,2016-08-25,Story,
BKG-347,https://its.it.lan.com/browse/BKG-347,,2016-08-11,,2016-08-16,2016-08-18,2016-08-22,2016-08-24,2016-08-30,Story,
BKG-352,https://its.it.lan.com/browse/BKG-352,,2016-08-18,,2016-08-22,2016-08-22,2016-08-31,2016-08-31,2016-08-31,Story,
BKG-361,https://its.it.lan.com/browse/BKG-361,,2016-08-26,,,,,,2017-11-13,Story,
BKG-363,https://its.it.lan.com/browse/BKG-363,,2016-08-31,,2016-09-30,2016-09-30,2016-10-13,,2016-10-17,Task,
BKG-370,https://its.it.lan.com/browse/BKG-370,,2016-09-01,,2016-09-01,2016-09-01,,,2016-09-15,Spike,
BKG-372,https://its.it.lan.com/browse/BKG-372,,2016-09-05,,2018-03-19,2018-03-19,2018-03-19,2018-03-19,2018-03-20,Task,
BKG-373,https://its.it.lan.com/browse/BKG-373,,2016-09-05,,2016-09-30,2016-09-30,2016-09-30,,2016-10-05,Task,
BKG-374,https://its.it.lan.com/browse/BKG-374,,2016-09-06,,2016-09-07,2016-09-15,2016-09-20,2016-09-22,2016-09-28,Task,
BKG-375,https://its.it.lan.com/browse/BKG-375,,2016-09-06,,2016-09-15,2016-09-15,2016-09-23,2016-09-23,2016-10-07,Story,
BKG-379,https://its.it.lan.com/browse/BKG-379,,2016-09-14,,2016-09-15,2016-09-15,2016-09-23,2016-10-05,2016-10-07,Story,
BKG-380,https://its.it.lan.com/browse/BKG-380,,2016-09-14,,2017-07-10,2017-07-11,2017-07-26,2017-07-28,2017-07-31,Story,
BKG-381,https://its.it.lan.com/browse/BKG-381,,2016-09-14,,2016-09-23,2016-09-26,2016-09-26,2016-10-05,2016-10-07,Story,
BKG-382,https://its.it.lan.com/browse/BKG-382,,2016-09-14,,2016-09-23,2016-09-26,2016-09-26,2016-10-05,2016-10-07,Story,
BKG-383,https://its.it.lan.com/browse/BKG-383,,2016-09-14,,2016-09-21,2016-09-26,2016-09-26,2016-09-28,2016-10-07,Story,
BKG-386,https://its.it.lan.com/browse/BKG-386,,2016-09-16,,2016-09-22,2016-09-23,2016-09-28,2016-09-30,2016-10-06,Bug,
BKG-390,https://its.it.lan.com/browse/BKG-390,,2016-09-21,,2016-09-21,2016-09-21,2016-09-23,2016-09-23,2016-10-03,Task,
BKG-391,https://its.it.lan.com/browse/BKG-391,,2016-09-22,,2016-09-22,2016-09-22,2016-09-22,2016-09-22,2016-09-30,Story,
BKG-397,https://its.it.lan.com/browse/BKG-397,,2016-09-27,,2016-09-27,2016-09-27,2016-09-27,2016-09-27,2016-09-28,Story,
BKG-402,https://its.it.lan.com/browse/BKG-402,,2016-09-28,,2016-09-30,2016-09-30,2016-10-03,2016-10-04,2016-10-05,Story,
BKG-403,https://its.it.lan.com/browse/BKG-403,,2016-09-29,,,,,,,Bug,
BKG-404,https://its.it.lan.com/browse/BKG-404,,2016-10-03,,2016-10-03,2016-10-03,2016-10-03,2016-10-04,2016-10-06,Story,
BKG-409,https://its.it.lan.com/browse/BKG-409,,2016-10-03,,2016-10-04,2016-10-04,2016-10-05,2016-10-06,2016-10-07,Story,
BKG-414,https://its.it.lan.com/browse/BKG-414,,2016-10-05,,2016-10-10,2016-10-10,2016-10-20,2016-10-24,2016-10-28,Story,
BKG-416,https://its.it.lan.com/browse/BKG-416,,2016-10-06,,2016-10-06,2016-10-06,2016-10-06,2016-10-24,2016-11-02,Story,
BKG-418,https://its.it.lan.com/browse/BKG-418,,2016-10-06,,2016-10-06,2016-10-06,2016-10-06,2016-10-07,2016-10-10,Task,
BKG-422,https://its.it.lan.com/browse/BKG-422,,2016-10-11,,2016-11-02,2016-11-08,2016-11-10,2016-11-10,2016-11-14,Story,
BKG-424,https://its.it.lan.com/browse/BKG-424,,2016-10-12,,2016-11-21,2016-11-21,2016-11-25,2016-11-25,2016-11-25,Story,
BKG-426,https://its.it.lan.com/browse/BKG-426,,2016-10-13,,2016-10-13,2016-10-17,,,2016-10-21,Spike,
BKG-427,https://its.it.lan.com/browse/BKG-427,,2016-10-13,,2016-10-13,2016-10-18,,,2016-10-21,Spike,
